leg,tickLead,tickRace,distance,area
1,-4053.0,-9212.0,138.02,0.0
1,-4023.0,-9182.0,137.974,0.0
1,-4013.0,-9172.0,137.815,0.0
1,-4003.0,-9162.0,137.627,0.0
1,-3993.0,-9152.0,137.432,0.0
1,-3983.0,-9142.0,137.259,0.0
1,-3973.0,-9132.0,137.17,0.0
1,-3963.0,-9122.0,137.146,0.0
1,-3953.0,-9112.0,137.108,0.0
1,-3883.0,-9042.0,137.08,0.0
1,-3873.0,-9032.0,136.98,0.0
1,-3863.0,-9022.0,136.904,0.0
1,-3853.0,-9012.0,136.893,0.0
1,-3843.0,-9002.0,136.826,0.0
1,-3823.0,-8982.0,136.778,0.0
1,-3813.0,-8972.0,136.728,0.0
1,-3803.0,-8962.0,136.704,0.0
1,-3793.0,-8952.0,136.672,0.0
1,-3783.0,-8942.0,136.534,0.0
1,-3763.0,-8922.0,136.48,0.0
1,-3743.0,-8902.0,136.371,0.0
1,-3733.0,-8892.0,136.315,0.0
1,-3713.0,-8872.0,136.257,0.0
1,-2763.0,-7922.0,136.252,0.0
1,-2753.0,-7912.0,136.094,0.0
1,-2743.0,-7902.0,136.001,0.0
1,-2463.0,-7622.0,135.977,0.0
1,-2443.0,-7602.0,135.958,0.0
1,-2423.0,-7582.0,135.904,0.0
1,-2403.0,-7562.0,135.857,0.0
1,-2373.0,-7532.0,135.763,0.0
1,-2363.0,-7522.0,135.629,0.0
1,-2333.0,-7492.0,135.618,0.0
1,-2303.0,-7462.0,135.6,0.0
1,-2293.0,-7452.0,135.46,0.0
1,-2283.0,-7442.0,135.293,0.0
1,-2273.0,-7432.0,135.29,0.0
1,-2253.0,-7412.0,135.2,0.0
1,-2233.0,-7392.0,135.133,0.0
1,-2223.0,-7382.0,135.131,0.0
1,-2203.0,-7362.0,135.065,0.0
1,-2193.0,-7352.0,134.878,0.0
1,-2183.0,-7342.0,134.681,0.0
1,-2173.0,-7332.0,134.468,0.0
1,-2163.0,-7322.0,134.265,0.0
1,-2153.0,-7312.0,134.049,0.0
1,-2143.0,-7302.0,133.861,0.0
1,-2133.0,-7292.0,133.674,0.0
1,-2123.0,-7282.0,133.479,0.0
1,-2113.0,-7272.0,133.316,0.0
1,-2103.0,-7262.0,133.138,0.0
1,-2093.0,-7252.0,132.97,0.0
1,-2083.0,-7242.0,132.821,0.0
1,-2073.0,-7232.0,132.742,0.0
1,-2013.0,-7172.0,132.631,0.0
1,-2003.0,-7162.0,132.48,0.0
1,-1993.0,-7152.0,132.407,0.0
1,-1963.0,-7122.0,132.399,0.0
1,-1953.0,-7112.0,132.388,0.0
1,-1933.0,-7092.0,132.37,0.0
1,-1903.0,-7062.0,132.318,0.0
1,-1873.0,-7032.0,132.275,0.0
1,-1863.0,-7022.0,132.117,0.0
1,-1853.0,-7012.0,132.003,0.0
1,-1843.0,-7002.0,131.905,0.0
1,-1813.0,-6972.0,131.886,0.0
1,-1783.0,-6942.0,131.72,0.0
1,-1773.0,-6932.0,131.712,0.0
1,-832.0,-5991.0,131.625,0.0
1,-822.0,-5981.0,131.611,0.0
1,-712.0,-5871.0,131.569,0.0
1,-702.0,-5861.0,131.462,0.0
1,-652.0,-5811.0,131.357,0.0
1,-642.0,-5801.0,131.247,0.0
1,-632.0,-5791.0,131.101,0.0
1,-622.0,-5781.0,130.945,0.0
1,-612.0,-5771.0,130.793,0.0
1,-602.0,-5761.0,130.627,0.0
1,-592.0,-5751.0,130.478,0.0
1,-562.0,-5721.0,130.312,0.0
1,-542.0,-5701.0,130.216,0.0
1,-522.0,-5681.0,130.208,0.0
1,-512.0,-5671.0,130.05,0.0
